"Timestamp","Gender","Age","Did you play PUBG before the ban?","If yes, then the number of average hours you played pubg in a day?","Are you happy with the ban on PUBG?","Are you against the ban of pubg?","Are you shifting towards any other game after the ban on pubg?","Which games are you shifting towards after the ban on pubg?","Can any of these games replace pubg?","Are you excited about FAU-G( Indian rival to PUBG Mobile (releasing soon))","Will you play FAU-G( Indian rival to PUBG Mobile (releasing soon))?","If yes then why will you play the FAU-G game?"
"2020/09/05 12:42:35 am GMT+5:30","Female","14","Yes","0-1","yes","no","No","","","no","No",""
"2020/09/05 12:45:18 am GMT+5:30","Male","21","Yes","2-3","yes","no","Yes","Call of Duty Mobile","Call of Duty Mobile","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 12:48:57 am GMT+5:30","Male","21","Yes","1-2","yes","no","Yes","Call of Duty Mobile","Call of Duty Mobile;FAU-G Game: Indian rival to PUBG Mobile (releasing soon)","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 12:50:14 am GMT+5:30","Male","19","No","","yes","no","","","Call of Duty Mobile","Yes","Yes","to support atma nirbhar bharat moment only"
"2020/09/05 12:53:16 am GMT+5:30","Male","20","Yes","0-1","no","Yes","No","","Nothing can replace pubg","no","No",""
"2020/09/05 12:53:36 am GMT+5:30","Male","22","Yes","2-3","no","Yes","Yes","Fortnite Battle Royale","Nothing can replace pubg","no","No",""
"2020/09/05 12:54:14 am GMT+5:30","Male","21","Yes","1-2","no","no","Yes","Call of Duty Mobile","FAU-G Game: Indian rival to PUBG Mobile (releasing soon)","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 12:59:17 am GMT+5:30","Male","21","Yes","1-2","no","no","Maybe","","Nothing can replace pubg","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 1:11:06 am GMT+5:30","Male","18","Yes","1-2","yes","no","Maybe","Call of Duty Mobile","Nothing can replace pubg","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 1:11:33 am GMT+5:30","Male","21","No","","yes","no","","","FAU-G Game: Indian rival to PUBG Mobile (releasing soon)","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 1:14:33 am GMT+5:30","Male","21","Yes","2-3","yes","no","Maybe","","Nothing can replace pubg","no","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 1:22:37 am GMT+5:30","Male","23","No","","yes","no","No","","Call of Duty Mobile;FAU-G Game: Indian rival to PUBG Mobile (releasing soon)","no","No",""
"2020/09/05 1:36:14 am GMT+5:30","Male","20","Yes","1-2","no","no","Maybe","Call of Duty Mobile","Nothing can replace pubg","Yes","No","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 1:37:30 am GMT+5:30","Male","21","No","2-3","no","Yes","Maybe","Call of Duty Mobile","Nothing can replace pubg","no","No",""
"2020/09/05 1:42:09 am GMT+5:30","Male","20","Yes","0-1","no","no","Maybe","Call of Duty Mobile","Call of Duty Mobile","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 1:52:10 am GMT+5:30","Male","20","No","0-1","no","no","No","","Call of Duty Mobile","no","No",""
"2020/09/05 1:53:54 am GMT+5:30","Male","21","Yes","0-1","no","no","No","","","no","Yes",""
"2020/09/05 2:02:02 am GMT+5:30","Male","20","Yes","0-1","no","no","Maybe","","Nothing can replace pubg","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 2:08:53 am GMT+5:30","Female","25","No","","yes","no","","","","no","No",""
"2020/09/05 4:31:09 am GMT+5:30","Male","21","Yes","1-2","no","Yes","Yes","Fortnite Battle Royale","Nothing can replace pubg","no","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 6:49:56 am GMT+5:30","Male","17","No","","yes","no","Maybe","","Call of Duty Mobile","no","No","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 7:18:15 am GMT+5:30","Male","20","No","","yes","no","No","","FAU-G Game: Indian rival to PUBG Mobile (releasing soon)","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 7:19:46 am GMT+5:30","Male","20","Yes","0-1","yes","no","Maybe","Garena Free Fire","FAU-G Game: Indian rival to PUBG Mobile (releasing soon)","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 7:46:07 am GMT+5:30","Female","20","No","0-1","yes","no","Maybe","Fortnite Battle Royale","FAU-G Game: Indian rival to PUBG Mobile (releasing soon)","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 7:50:34 am GMT+5:30","Male","20","Yes","1-2","yes","no","Maybe","","FAU-G Game: Indian rival to PUBG Mobile (releasing soon)","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 7:51:45 am GMT+5:30","Male","20","Yes","1-2","no","Yes","Yes","Fortnite Battle Royale","Call of Duty Mobile","Yes","Yes","to support atma nirbhar bharat moment only"
